event_id,shipment_id,employee_id,event_type,location,notes,occurred_at
1,1,21,created,Kyzylorda,,2023-09-25 11:01:00
2,1,5,picked_up,Taraz,,2023-09-26 10:01:00
3,1,20,arrived_warehouse,Taraz,,2023-09-27 11:01:00
4,1,3,departed_warehouse,Almaty,,2023-09-27 18:01:00
5,1,8,out_for_delivery,Astana,,2023-09-28 12:01:00
6,2,14,created,Atyrau,,2023-11-04 07:04:00
7,2,15,picked_up,Pavlodar,,2023-11-05 13:04:00
8,2,39,arrived_warehouse,Almaty,,2023-11-06 17:04:00
9,2,9,departed_warehouse,Aktau,,2023-11-07 00:04:00
10,2,8,out_for_delivery,Taraz,,2023-11-07 08:04:00
11,2,1,delivered,Pavlodar,,2023-11-07 15:04:00
12,3,41,created,Atyrau,,2023-05-02 08:04:00
13,3,25,picked_up,Atyrau,,2023-05-02 21:04:00
14,3,33,arrived_warehouse,Atyrau,,2023-05-03 14:04:00
15,3,45,departed_warehouse,Astana,,2023-05-04 18:04:00
16,3,50,out_for_delivery,Aktau,,2023-05-05 17:04:00
17,3,28,delivered,Semey,,2023-05-06 02:04:00
18,4,15,created,Uralsk,,2024-05-29 10:07:00
19,4,50,picked_up,Petropavl,,2024-05-30 06:07:00
20,4,42,arrived_warehouse,Aktau,Me industry class current painting their.,2024-05-31 06:07:00
21,4,45,departed_warehouse,Karaganda,Political them never.,2024-06-01 06:07:00
22,4,45,out_for_delivery,Uralsk,,2024-06-01 17:07:00
23,4,23,delivered,Almaty,,2024-06-02 06:07:00
24,5,50,created,Shymkent,,2025-05-08 17:13:00
25,5,21,picked_up,Astana,Represent middle by base.,2025-05-09 05:13:00
26,5,28,arrived_warehouse,Shymkent,,2025-05-10 07:13:00
27,5,46,departed_warehouse,Aktobe,,2025-05-11 03:13:00
28,5,43,out_for_delivery,Uralsk,,2025-05-12 08:13:00
29,6,10,created,Aktobe,,2026-03-20 12:46:00
30,6,13,cancelled,Shymkent,,2026-03-20 23:46:00
31,7,24,created,Pavlodar,,2025-06-30 23:33:00
32,7,27,picked_up,Uralsk,,2025-07-01 14:33:00
33,7,4,arrived_warehouse,Uralsk,,2025-07-02 12:33:00
34,7,5,departed_warehouse,Pavlodar,Evening town challenge join.,2025-07-03 01:33:00
35,7,25,out_for_delivery,Karaganda,,2025-07-04 01:33:00
36,7,43,delivered,Kyzylorda,,2025-07-05 07:33:00
37,8,24,created,Almaty,,2025-03-05 04:41:00
38,8,14,picked_up,Pavlodar,,2025-03-05 12:41:00
39,8,13,arrived_warehouse,Aktobe,,2025-03-06 06:41:00
40,8,5,departed_warehouse,Karaganda,,2025-03-06 13:41:00
41,8,33,out_for_delivery,Uralsk,,2025-03-06 19:41:00
42,8,34,delivered,Almaty,,2025-03-07 21:41:00
43,9,34,created,Petropavl,,2023-11-29 14:35:00
44,9,49,picked_up,Shymkent,,2023-11-29 19:35:00
45,9,10,arrived_warehouse,Petropavl,,2023-11-30 14:35:00
46,9,29,departed_warehouse,Kyzylorda,,2023-12-01 00:35:00
47,9,27,out_for_delivery,Almaty,,2023-12-01 03:35:00
48,9,16,delivered,Oskemen,,2023-12-01 17:35:00
49,10,25,created,Pavlodar,,2025-08-25 13:55:00
50,11,21,created,Kyzylorda,,2026-04-01 15:02:00
51,11,35,picked_up,Semey,,2026-04-02 06:02:00
52,11,42,arrived_warehouse,Aktobe,,2026-04-03 09:02:00
53,11,50,departed_warehouse,Almaty,,2026-04-04 15:02:00
54,11,18,out_for_delivery,Astana,,2026-04-05 04:02:00
55,11,26,delivered,Kostanay,,2026-04-05 20:02:00
56,12,5,created,Taraz,,2025-05-12 16:40:00
57,12,33,picked_up,Uralsk,,2025-05-13 06:40:00
58,12,2,arrived_warehouse,Shymkent,,2025-05-13 14:40:00
59,12,29,departed_warehouse,Almaty,,2025-05-14 14:40:00
60,12,50,out_for_delivery,Taraz,,2025-05-15 00:40:00
61,12,37,delivered,Almaty,,2025-05-15 15:40:00
62,13,46,created,Semey,,2025-03-24 18:54:00
63,13,44,picked_up,Petropavl,,2025-03-25 22:54:00
64,13,23,arrived_warehouse,Kostanay,Dog yes heart agreement us stuff.,2025-03-26 22:54:00
65,13,19,departed_warehouse,Kyzylorda,,2025-03-27 18:54:00
66,13,46,out_for_delivery,Kostanay,,2025-03-28 02:54:00
67,13,12,delivered,Uralsk,,2025-03-29 01:54:00
68,14,9,created,Taraz,,2026-03-13 22:40:00
69,14,6,picked_up,Aktau,,2026-03-14 18:40:00
70,14,38,arrived_warehouse,Shymkent,,2026-03-15 15:40:00
